iter	RMSE
0	2.592952843
1	2.443549582
2	2.313747438
3	2.196659117
4	2.098869107
5	2.007756902
6	1.923987765
7	1.852988899
8	1.792085758
9	1.742961552
10	1.70036217
11	1.662884197
12	1.631439746
13	1.600279908
14	1.57480907
15	1.553026885
16	1.532100259
17	1.515970133
18	1.49589208
19	1.481686471
20	1.469672547
21	1.45720987
22	1.443283986
23	1.430810664
24	1.421171759
25	1.410081501
26	1.401660195
27	1.394381921
28	1.386163709
29	1.379255579
30	1.369851543
31	1.362981795
32	1.355415477
33	1.349602596
34	1.344292152
35	1.338622801
36	1.332871616
37	1.328565845
38	1.324478057
39	1.320308968
40	1.314425409
41	1.311541093
42	1.309341789
43	1.306676837
44	1.304153743
45	1.301711018
46	1.297850265
47	1.295857986
48	1.29386187
49	1.290491283
50	1.287072752
51	1.285269999
52	1.28080285
53	1.278001049
54	1.273683874
55	1.271971014
56	1.270079757
57	1.266764291
58	1.263444104
59	1.262398348
60	1.25928578
61	1.257718157
62	1.254269183
63	1.251761422
64	1.249309183
65	1.246150095
66	1.243162339
67	1.241816326
68	1.238156507
69	1.235058997
70	1.234050499
71	1.230014268
72	1.226409231
73	1.22447159
74	1.222505337
75	1.220666113
76	1.217776239
77	1.2145464
78	1.21161143
79	1.20998973
80	1.207277885
81	1.204681611
82	1.20216159
83	1.200244107
84	1.199092939
85	1.196599622
86	1.195402947
87	1.193252278
88	1.192356992
89	1.189593718
90	1.188248404
91	1.185788231
92	1.183409522
93	1.181944537
94	1.179168941
95	1.177412945
96	1.17506258
97	1.17355888
98	1.170292126
99	1.16824049
100	1.166217796
101	1.164212218
102	1.161901964
103	1.15878761
104	1.157130555
105	1.154921883
106	1.152926558
107	1.149974737
108	1.147238139
109	1.145074475
110	1.143623115
111	1.141518729
112	1.139268013
113	1.136953147
114	1.135076981
115	1.132774944
116	1.131061411
117	1.128261279
118	1.126162255
119	1.124345053
120	1.123460985
121	1.121148148
122	1.11948007
123	1.118195043
124	1.115594501
125	1.113782394
126	1.112187641
127	1.111053255
128	1.108628983
129	1.106830283
130	1.106071084
131	1.104579658
132	1.102081991
133	1.100972643
134	1.099733762
135	1.098426017
136	1.09699551
137	1.094417331
138	1.092390031
139	1.090713675
140	1.089456984
141	1.089208995
142	1.08801493
143	1.086696981
144	1.084544484
145	1.082854655
146	1.081186924
147	1.079549952
148	1.078077634
149	1.077415014
