iter	Passed	Remaining
0	7	1146
1	12	953
2	18	909
3	23	874
4	29	846
5	34	818
6	39	804
7	44	796
8	50	789
9	54	761
10	59	750
11	64	741
12	69	729
13	73	716
14	78	705
15	83	697
16	87	684
17	92	679
18	97	673
19	102	663
20	106	654
21	111	649
22	115	639
23	120	634
24	127	638
25	133	636
26	138	631
27	143	626
28	148	618
29	153	612
30	158	608
31	163	603
32	168	597
33	175	597
34	180	592
35	186	589
36	191	584
37	195	577
38	202	577
39	210	577
40	215	572
41	221	570
42	227	565
43	233	561
44	238	557
45	243	550
46	249	547
47	257	546
48	263	542
49	269	538
50	274	533
51	280	527
52	284	520
53	290	516
54	295	510
55	300	505
56	305	498
57	314	498
58	320	494
59	326	490
60	332	485
61	337	479
62	342	473
63	347	466
64	351	459
65	356	453
66	361	447
67	365	440
68	370	435
69	377	431
70	382	425
71	387	419
72	392	413
73	398	408
74	404	404
75	409	399
76	415	394
77	420	388
78	424	381
79	429	376
80	433	369
81	438	363
82	443	358
83	448	352
84	452	346
85	457	340
86	462	334
87	467	329
88	471	323
89	475	317
90	479	311
91	484	305
92	489	300
93	496	295
94	500	290
95	505	284
96	510	279
97	516	274
98	522	269
99	528	264
100	532	258
101	537	252
102	542	247
103	547	242
104	551	236
105	557	231
106	561	225
107	565	220
108	570	214
109	575	209
110	580	203
111	585	198
112	590	193
113	594	187
114	599	182
115	606	177
116	611	172
117	618	167
118	624	162
119	629	157
120	633	151
121	639	146
122	644	141
123	648	135
124	653	130
125	658	125
126	662	119
127	666	114
128	671	109
129	675	103
130	680	98
131	684	93
132	689	88
133	694	82
134	699	77
135	704	72
136	708	67
137	713	62
138	718	56
139	723	51
140	728	46
141	732	41
142	739	36
143	744	31
144	749	25
145	754	20
146	759	15
147	763	10
148	768	5
149	774	0
